episode_id,blue_cube_count,failure_reason,failed_state,solver_recovery_attempts,solver_recovery_total_attempts,slot_index
episode_000009,3,solver_recovery_exhausted,approach,1,1,2
episode_000016,3,state_timeout,solver_recovery_raise,1,1,2
episode_000024,2,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000043,3,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000046,3,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000048,3,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000062,3,solver_recovery_exhausted,align_yaw,1,2,2
episode_000067,3,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000068,3,solver_recovery_exhausted,place_descend,1,1,2
episode_000073,3,solver_recovery_exhausted,approach,1,1,2
episode_000076,3,solver_recovery_exhausted,align_yaw,1,1,0
episode_000079,1,solver_recovery_exhausted,approach,1,1,0
episode_000087,3,solver_recovery_exhausted,align_yaw,1,1,2
episode_000096,2,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000109,3,solver_recovery_exhausted,descend,1,1,1
episode_000113,3,solver_recovery_exhausted,descend,1,1,1
episode_000128,2,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000143,2,solver_recovery_exhausted,align_yaw,1,1,0
episode_000151,3,solver_recovery_exhausted,place_descend,1,1,1
episode_000152,3,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000157,2,solver_recovery_exhausted,align_yaw,1,1,1
episode_000163,3,solver_recovery_exhausted,align_yaw,1,1,2
episode_000164,2,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000169,2,solver_recovery_exhausted,align_yaw,1,1,0
episode_000172,1,solver_recovery_exhausted,move_above_slot,1,1,0
episode_000176,3,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000187,3,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000190,2,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000200,3,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000203,3,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000204,2,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000219,2,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000222,3,solver_recovery_exhausted,align_yaw,1,1,2
episode_000223,2,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000230,2,solver_recovery_exhausted,place_descend,1,1,1
episode_000254,2,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000262,1,state_timeout,retreat,0,0,0
episode_000263,3,solver_recovery_exhausted,move_above_slot,1,1,0
episode_000278,2,solver_recovery_exhausted,align_yaw,1,1,0
episode_000281,2,solver_recovery_exhausted,place_descend,1,1,0
episode_000313,3,solver_recovery_exhausted,approach,1,1,2
episode_000317,3,solver_recovery_exhausted,descend,1,1,1
episode_000334,2,solver_recovery_exhausted,approach,1,1,1
episode_000344,3,solver_recovery_exhausted,approach,1,1,2
episode_000347,2,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000355,3,solver_recovery_exhausted,align_yaw,1,2,2
episode_000387,2,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000406,3,solver_recovery_exhausted,place_descend,1,1,0
episode_000424,3,placement_verification,retreat,0,0,0
episode_000427,3,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000429,3,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000434,3,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000442,3,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000447,2,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000449,3,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000450,2,solver_recovery_exhausted,align_yaw,1,1,1
episode_000453,3,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000461,3,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000470,1,solver_recovery_exhausted,approach,1,1,0
episode_000473,3,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000482,2,solver_recovery_exhausted,align_yaw,1,1,0
episode_000483,3,solver_recovery_exhausted,place_descend,1,1,2
episode_000485,3,solver_recovery_exhausted,align_yaw,1,1,0
episode_000490,1,solver_recovery_exhausted,approach,1,1,0
episode_000497,3,solver_recovery_exhausted,place_descend,1,1,1
episode_000508,3,solver_recovery_exhausted,descend,1,1,0
episode_000517,3,solver_recovery_exhausted,descend,1,1,1
episode_000526,1,solver_recovery_exhausted,align_yaw,1,1,0
episode_000527,3,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000528,3,solver_recovery_exhausted,align_yaw,1,1,2
episode_000530,3,solver_recovery_exhausted,approach,1,1,2
episode_000535,3,solver_recovery_exhausted,place_descend,1,1,0
episode_000545,3,solver_recovery_exhausted,move_above_slot,1,1,2
episode_000548,3,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000551,2,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000552,3,solver_recovery_exhausted,move_above_slot,1,1,1
episode_000558,2,solver_recovery_exhausted,approach,1,1,1
episode_000565,2,solver_recovery_exhausted,approach,1,1,1
episode_000566,2,solver_recovery_exhausted,approach,1,1,1
episode_000582,3,solver_recovery_exhausted,approach,1,1,2
episode_000589,3,solver_recovery_exhausted,recenter_after_yaw,1,1,2
episode_000596,2,solver_recovery_exhausted,align_yaw,1,1,1
episode_000599,1,solver_recovery_exhausted,move_above_slot,1,1,0
